# log10_gbar log10_gobs log10_p16 log10_p84
-1.246889371112837885e+01 -1.081477122675269875e+01 -1.104199405118367316e+01 -1.067298787054793152e+01
-1.245537824423014328e+01 -1.097293346698916316e+01 -1.118793424724411167e+01 -1.083552930856103202e+01
-1.237398226241660026e+01 -1.079595195280010955e+01 -1.096852757806699152e+01 -1.067892833400292574e+01
-1.231445223741451400e+01 -1.083095228055477222e+01 -1.098999847728078727e+01 -1.071494409274824022e+01
-1.218317942541409238e+01 -1.069123935124688884e+01 -1.089523001109538036e+01 -1.055761505685471491e+01
-1.216966395851587990e+01 -1.085583343653081023e+01 -1.104787821563800598e+01 -1.072787478593000721e+01
-1.208826797670231556e+01 -1.067935622859581635e+01 -1.083379314397441995e+01 -1.057119202292571458e+01
-1.202873795170022930e+01 -1.071862897427586780e+01 -1.086025093883577064e+01 -1.061144372320583251e+01
-1.189746513969980768e+01 -1.058602628633692966e+01 -1.076708355921733506e+01 -1.046218143822807356e+01
-1.188394967280157388e+01 -1.075743155563744580e+01 -1.092690197380865236e+01 -1.063986141377703198e+01
-1.180255369098802909e+01 -1.058179790541798404e+01 -1.071836957529002810e+01 -1.048323767968790499e+01
-1.174302366598593927e+01 -1.062527124503624876e+01 -1.075006269592660857e+01 -1.052747002091127371e+01
-1.161175085398552120e+01 -1.049919531320596811e+01 -1.065852979929631772e+01 -1.038618183313223398e+01
-1.159823538708728030e+01 -1.067735418216282284e+01 -1.082565874917512438e+01 -1.057055206367610367e+01
-1.151683940527374439e+01 -1.050284985979398478e+01 -1.062284994894158885e+01 -1.041323884346035733e+01
-1.145730938027165280e+01 -1.055027191061910052e+01 -1.065943895218116744e+01 -1.046207293648686765e+01
-1.132603656827123473e+01 -1.042995315267163647e+01 -1.056952118199453139e+01 -1.032721957966944082e+01
-1.123112511955945791e+01 -1.044121437709135947e+01 -1.054626036710834214e+01 -1.036074310424899636e+01
-1.117159509455737165e+01 -1.049217088987015423e+01 -1.058782892842293144e+01 -1.041278208051878273e+01
-1.104032228255695003e+01 -1.037670510431386006e+01 -1.049893438932691758e+01 -1.028358013415286010e+01
-1.094541083384517322e+01 -1.039485684485269701e+01 -1.048728727610636113e+01 -1.032236305155915801e+01
-1.075460799684266355e+01 -1.033725193192153036e+01 -1.044539977380275175e+01 -1.025249514760844960e+01
