# log10_gbar log10_gobs log10_p16 log10_p84
-1.361218032761197705e+01 -1.146878108980293476e+01 -1.177802097486276445e+01 -1.131164393660752765e+01
-1.361185839040767220e+01 -1.159752153609733583e+01 -1.191299850189496290e+01 -1.142704127201111497e+01
-1.351740958540691118e+01 -1.143278306244357267e+01 -1.166978147941583188e+01 -1.129008585982377610e+01
-1.345993862202872116e+01 -1.144498735569715642e+01 -1.167059390861788337e+01 -1.129826588985208602e+01
-1.332646604189769057e+01 -1.128454593189604083e+01 -1.157466331652133995e+01 -1.112839168663326639e+01
-1.332614410469339639e+01 -1.141611597963443181e+01 -1.171326239672476888e+01 -1.124980466932132117e+01
-1.323169529969262470e+01 -1.125006856043479431e+01 -1.147366902102267616e+01 -1.111151768954690233e+01
-1.317422433631443290e+01 -1.126593464607344508e+01 -1.147767705785507353e+01 -1.112391950236822780e+01
-1.304075175618340587e+01 -1.111293335090931578e+01 -1.138259837635736638e+01 -1.095968642550607264e+01
-1.304042981897910813e+01 -1.124887217358113922e+01 -1.152543874995487627e+01 -1.108795992569582722e+01
-1.294598101397834000e+01 -1.108154355651442735e+01 -1.129001137044002157e+01 -1.094820257930122764e+01
-1.288851005060014465e+01 -1.110147318959276319e+01 -1.129779822330738348e+01 -1.096533027285855333e+01
-1.275503747046911940e+01 -1.095572427103965296e+01 -1.120372297091132552e+01 -1.080739224451470726e+01
-1.275471553326481988e+01 -1.109746600252515591e+01 -1.135148073380056033e+01 -1.094350778049317796e+01
-1.266026672826405353e+01 -1.092899084885978844e+01 -1.112077536621511697e+01 -1.080220254825054838e+01
-1.260279576488586173e+01 -1.095334396025548607e+01 -1.113290240809061693e+01 -1.082440462991898045e+01
-1.246932318475483470e+01 -1.081462653784727301e+01 -1.104002187073583485e+01 -1.067309738381201534e+01
-1.246900124755051387e+01 -1.096332989595478224e+01 -1.119336165838072716e+01 -1.081782907169367469e+01
-1.237455244254976705e+01 -1.079396348416598173e+01 -1.096795429286592594e+01 -1.067468290983656942e+01
-1.231708147917157881e+01 -1.082300552129164473e+01 -1.098501915263612716e+01 -1.070249041620268926e+01
-1.218360889904054822e+01 -1.069103497490603516e+01 -1.089339638283404987e+01 -1.055803307793667933e+01
-1.218328696183625759e+01 -1.084744987013599626e+01 -1.105289285274063360e+01 -1.071174734085687952e+01
-1.208883815683548235e+01 -1.067755428139991736e+01 -1.083331796558831606e+01 -1.056722332288511090e+01
-1.203136719345729588e+01 -1.071140114357616113e+01 -1.085569400792509676e+01 -1.060015834202406282e+01
-1.189789461332626352e+01 -1.058577913709874530e+01 -1.076541746173759151e+01 -1.046244601896681381e+01
-1.189757267612194802e+01 -1.075017256241239316e+01 -1.093146868101966795e+01 -1.062527401859686549e+01
-1.180312387112119588e+01 -1.058016994001696887e+01 -1.071818090252366495e+01 -1.047934593468899678e+01
-1.174565290774300408e+01 -1.061874574703037943e+01 -1.074583263045346371e+01 -1.051748239734975243e+01
-1.161218032761197705e+01 -1.049892174903014919e+01 -1.065703669474501325e+01 -1.038623497466505263e+01
-1.161185839040765089e+01 -1.067107316113966675e+01 -1.082978534833934425e+01 -1.055736171618880803e+01
-1.151740958540690940e+01 -1.050137476798395042e+01 -1.062242872902756474e+01 -1.041038783247655175e+01
-1.145993862202871760e+01 -1.054439725348327705e+01 -1.065573788308157788e+01 -1.045309797511144367e+01
-1.132646604189769057e+01 -1.042966743460905832e+01 -1.056832951051999636e+01 -1.032712267421353758e+01
-1.123169529969262470e+01 -1.043986588273284255e+01 -1.054561649915528676e+01 -1.035796923917852119e+01
-1.117422433631443646e+01 -1.048686765325766856e+01 -1.058436522031067994e+01 -1.040459183732413528e+01
-1.104075175618340587e+01 -1.037641808674292143e+01 -1.049833900710917867e+01 -1.028336179567713593e+01
-1.094598101397834000e+01 -1.039360745332915670e+01 -1.048682797513201770e+01 -1.031917156766066412e+01
-1.075503747046911940e+01 -1.033697048843353805e+01 -1.044488397905750787e+01 -1.025233361538100141e+01
