# X-COP per-point radial acceleration relation (RAR) dataset
# Twelve X-COP galaxy clusters; Einasto (EIN3) hydrostatic mass profiles.
#
# Source : Monjo 2025, ApJ 981, 195 (DOI 10.3847/1538-4357/adb723), from the X-COP Einasto
#          (EIN3) hydrostatic mass profiles (Eckert et al. 2022, A&A 662, A123; X-COP).
#
# Column definitions (exactly as used for the published chi^2 in fig2_table2.py):
#   r_kpc         = R_REF                                              [kpc]
#   gbar_si       = GN*Msol*MGAS         / (R_REF*kpc)^2               [m/s^2]  (gas-only baryonic Newtonian)
#   gobs_si       = GN*Msol*(M_DM+MGAS)  / (R_REF*kpc)^2               [m/s^2]  (total hydrostatic accel.)
#   sigma_gobs_si = (obs_HI - obs_LO)/2                                [m/s^2]
#       obs_HI = GN*Msol*(M_DM_HI+MGAS_HI)/(R_IN *kpc)^2 ; obs_LO = GN*Msol*(M_DM_LO+MGAS_LO)/(R_OUT*kpc)^2
#   FITS mass columns MGAS, M_DM (and _HI/_LO) are in solar masses; multiplied by Msol -> kg.
#   Values are already SI (m/s^2): GN[SI]*mass[kg]/radius[m]^2. No further unit rescaling. (a0 = 1.2e-10 m/s^2)
#
# Constants (verbatim from hmg_common.py):
#   c0=3e8 m/s ; Msol=1.9891e30 kg ; GN=6.674e-11 SI ; kpc=3261.8116478174*365*24*3600*c0 m = 3.085935e+19 m
#
# Window : only bins with R_REF >= 1000 kpc (lgR2 mask in fig2_table2.py), which define the
#          Table 2 published chi^2; per-cluster degrees of freedom df = N - 1.
# Grouping: keep per-cluster; fit each cluster separately. N per cluster:
#   A85      N=28
#   A644     N=22
#   A1644    N=27
#   A1795    N=29
#   A2029    N=31
#   A2142    N=31
#   A2255    N=29
#   A2319    N=29
#   A3158    N=26
#   A3266    N=27
#   RXC1825  N=26
#   ZW1215   N=25
# Total N = 330 over 12 clusters.
# Generated: 2026-08-06
#
# cluster  r_kpc  gbar_si  gobs_si  sigma_gobs_si
A2142       1035.4391   1.139998e-11   9.434369e-11   4.614760e-12
A2142       1078.7290   1.108705e-11   9.134016e-11   4.495393e-12
A2142       1123.8287   1.077174e-11   8.839647e-11   4.380829e-12
A2142       1170.8141   1.045492e-11   8.550841e-11   4.272042e-12
A2142       1219.7639   1.013793e-11   8.266987e-11   4.167772e-12
A2142       1270.7601   9.822086e-12   7.987956e-11   4.063986e-12
A2142       1323.8884   9.507885e-12   7.714471e-11   3.961968e-12
A2142       1379.2379   9.196707e-12   7.446829e-11   3.862847e-12
A2142       1436.9015   8.889023e-12   7.185086e-11   3.781726e-12
A2142       1496.9760   8.585639e-12   6.929345e-11   3.698404e-12
A2142       1559.5619   8.287224e-12   6.678976e-11   3.624309e-12
A2142       1624.7645   7.993219e-12   6.434487e-11   3.536800e-12
A2142       1692.6931   7.704533e-12   6.196764e-11   3.465217e-12
A2142       1763.4618   7.421622e-12   5.964375e-11   3.390351e-12
A2142       1837.1891   7.144152e-12   5.737544e-11   3.324974e-12
A2142       1913.9988   6.872360e-12   5.517557e-11   3.256561e-12
A2142       1994.0198   6.606357e-12   5.302971e-11   3.183185e-12
A2142       2077.3865   6.346916e-12   5.094026e-11   3.115926e-12
A2142       2164.2383   6.092274e-12   4.890960e-11   3.044884e-12
A2142       2254.7214   5.844009e-12   4.693235e-11   2.983933e-12
A2142       2348.9875   5.602189e-12   4.501662e-11   2.926130e-12
A2142       2447.1946   5.366140e-12   4.315835e-11   2.872187e-12
A2142       2549.5076   5.136562e-12   4.135122e-11   2.810668e-12
A2142       2656.0981   4.913537e-12   3.960229e-11   2.750043e-12
A2142       2767.1450   4.696221e-12   3.790973e-11   2.688099e-12
A2142       2882.8347   4.486059e-12   3.627290e-11   2.632473e-12
A2142       3003.3611   4.281962e-12   3.468723e-11   2.573531e-12
A2142       3128.9265   4.084100e-12   3.315275e-11   2.512700e-12
A2142       3259.7415   3.893257e-12   3.167073e-11   2.454753e-12
A2142       3396.0256   3.708234e-12   3.023712e-11   2.396596e-12
A2142       3538.0078   3.529909e-12   2.885524e-11   2.340489e-12
A2255       1014.2452   7.842761e-12   6.959137e-11   5.227091e-12
A2255       1056.0171   7.701901e-12   6.740839e-11   5.006035e-12
A2255       1099.5095   7.553932e-12   6.517102e-11   4.794488e-12
A2255       1144.7931   7.399283e-12   6.291435e-11   4.578915e-12
A2255       1191.9417   7.239388e-12   6.065352e-11   4.349470e-12
A2255       1241.0321   7.074320e-12   5.835474e-11   4.132606e-12
A2255       1292.1444   6.904972e-12   5.604551e-11   3.948511e-12
A2255       1345.3617   6.731884e-12   5.371757e-11   3.791166e-12
A2255       1400.7708   6.556092e-12   5.141902e-11   3.670356e-12
A2255       1458.4619   6.377213e-12   4.914650e-11   3.550468e-12
A2255       1518.5291   6.196623e-12   4.691219e-11   3.490749e-12
A2255       1581.0701   6.014534e-12   4.469892e-11   3.420565e-12
A2255       1646.1869   5.831702e-12   4.253052e-11   3.375459e-12
A2255       1713.9855   5.648426e-12   4.041514e-11   3.364445e-12
A2255       1784.5764   5.465596e-12   3.835860e-11   3.352100e-12
A2255       1858.0747   5.283641e-12   3.633654e-11   3.335473e-12
A2255       1934.6001   5.101799e-12   3.436845e-11   3.323451e-12
A2255       2014.2771   4.923814e-12   3.245977e-11   3.315597e-12
A2255       2097.2356   4.747562e-12   3.063713e-11   3.291819e-12
A2255       2183.6108   4.574463e-12   2.887038e-11   3.257313e-12
A2255       2273.5435   4.403922e-12   2.717954e-11   3.197502e-12
A2255       2367.1799   4.237756e-12   2.553768e-11   3.150437e-12
A2255       2464.6729   4.074425e-12   2.396624e-11   3.067923e-12
A2255       2566.1812   3.915691e-12   2.247967e-11   2.991330e-12
A2255       2671.8699   3.761122e-12   2.106124e-11   2.915441e-12
A2255       2781.9116   3.609877e-12   1.971760e-11   2.837483e-12
A2255       2896.4854   3.463854e-12   1.844996e-11   2.750371e-12
A2255       3015.7778   3.322484e-12   1.724416e-11   2.664219e-12
A2255       3139.9836   3.184313e-12   1.610369e-11   2.572844e-12
A2319       1025.7351   1.097019e-11   9.453899e-11   4.398217e-12
A2319       1068.0504   1.077298e-11   9.041349e-11   4.205451e-12
A2319       1112.1115   1.057349e-11   8.637955e-11   4.031368e-12
A2319       1157.9901   1.037233e-11   8.244897e-11   3.873206e-12
A2319       1205.7614   1.016961e-11   7.860544e-11   3.716717e-12
A2319       1255.5034   9.965532e-12   7.487256e-11   3.571117e-12
A2319       1307.2976   9.760651e-12   7.124933e-11   3.435860e-12
A2319       1361.2284   9.554823e-12   6.773372e-11   3.307728e-12
A2319       1417.3840   9.348370e-12   6.433163e-11   3.189681e-12
A2319       1475.8563   9.141577e-12   6.104293e-11   3.072497e-12
A2319       1536.7407   8.933832e-12   5.787082e-11   2.958091e-12
A2319       1600.1370   8.726108e-12   5.481575e-11   2.847440e-12
A2319       1666.1484   8.517983e-12   5.188288e-11   2.744697e-12
A2319       1734.8832   8.309573e-12   4.906442e-11   2.635098e-12
A2319       1806.4534   8.101306e-12   4.635694e-11   2.527360e-12
A2319       1880.9762   7.892684e-12   4.376729e-11   2.427010e-12
A2319       1958.5734   7.684739e-12   4.129188e-11   2.329635e-12
A2319       2039.3717   7.477299e-12   3.892985e-11   2.232895e-12
A2319       2123.5032   7.270535e-12   3.667774e-11   2.139737e-12
A2319       2211.1055   7.065019e-12   3.453354e-11   2.042130e-12
A2319       2302.3215   6.861256e-12   3.249881e-11   1.948140e-12
A2319       2397.3008   6.659003e-12   3.056664e-11   1.857804e-12
A2319       2496.1982   6.458386e-12   2.873010e-11   1.767005e-12
A2319       2599.1755   6.260537e-12   2.699331e-11   1.679691e-12
A2319       2706.4011   6.065570e-12   2.535372e-11   1.597108e-12
A2319       2818.0500   5.873931e-12   2.380392e-11   1.516772e-12
A2319       2934.3049   5.685560e-12   2.234138e-11   1.440325e-12
A2319       3055.3557   5.500266e-12   2.096395e-11   1.368638e-12
A2319       3181.4001   5.318848e-12   1.966458e-11   1.299325e-12
A3158       1009.4927   6.669392e-12   5.881500e-11   3.303532e-12
A3158       1050.3116   6.490096e-12   5.684490e-11   3.245489e-12
A3158       1092.7811   6.310982e-12   5.492507e-11   3.189248e-12
A3158       1136.9679   6.131742e-12   5.303875e-11   3.145379e-12
A3158       1182.9413   5.952472e-12   5.120022e-11   3.094484e-12
A3158       1230.7737   5.774150e-12   4.940340e-11   3.066682e-12
A3158       1280.5402   5.595888e-12   4.764269e-11   3.029026e-12
A3158       1332.3190   5.417886e-12   4.590586e-11   2.997481e-12
A3158       1386.1914   5.241628e-12   4.421130e-11   2.975233e-12
A3158       1442.2422   5.066548e-12   4.256261e-11   2.936392e-12
A3158       1500.5594   4.892917e-12   4.095638e-11   2.910880e-12
A3158       1561.2347   4.721103e-12   3.938792e-11   2.887889e-12
A3158       1624.3634   4.552064e-12   3.786401e-11   2.852965e-12
A3158       1690.0448   4.385351e-12   3.639109e-11   2.824196e-12
A3158       1758.3820   4.221624e-12   3.495276e-11   2.793007e-12
A3158       1829.4823   4.061132e-12   3.354983e-11   2.772890e-12
A3158       1903.4576   3.904343e-12   3.218777e-11   2.736614e-12
A3158       1980.4242   3.751023e-12   3.085881e-11   2.712681e-12
A3158       2060.5029   3.601127e-12   2.957542e-11   2.691476e-12
A3158       2143.8196   3.454378e-12   2.832883e-11   2.669136e-12
A3158       2230.5051   3.311745e-12   2.712234e-11   2.631132e-12
A3158       2320.6958   3.172830e-12   2.595008e-11   2.601673e-12
A3158       2414.5334   3.037969e-12   2.481064e-11   2.566783e-12
A3158       2512.1653   2.906713e-12   2.371281e-11   2.540604e-12
A3158       2613.7451   2.779816e-12   2.265904e-11   2.508631e-12
A3158       2719.4321   2.658061e-12   2.163933e-11   2.481470e-12
A3266       1034.5535   9.697564e-12   7.869033e-11   3.755643e-12
A3266       1076.7839   9.505642e-12   7.656552e-11   3.675860e-12
A3266       1120.7382   9.299431e-12   7.445582e-11   3.596641e-12
A3266       1166.4866   9.080249e-12   7.236115e-11   3.514676e-12
A3266       1214.1025   8.849119e-12   7.027538e-11   3.436255e-12
A3266       1263.6621   8.607561e-12   6.821890e-11   3.357509e-12
