# Name, z,    Radius         log(gbar)          log(gtot)      err_log(gtot)_low  err_log(gtot)_up
#             (kpc)           [m/s^2]             [m/s^2]         [m/s^2]             [m/s^2]
A2142 0.0899 2585.863251 -11.238317619154868 -10.399852145693417 0.022080391259596155 0.01605368505416571
A2142 0.0899 2661.777993 -11.25115961006083 -10.408336638472985 0.02076140553285022 0.016386819926751173
A2142 0.0899 2732.305703 -11.262821756907984 -10.416135367318734 0.01962032166390948 0.016682239997644288
A2142 0.0899 2847.677344 -11.281371291048387 -10.428147151650052 0.018400232950291695 0.01698927611758627
A2142 0.0899 2952.778963 -11.297730678612798 -10.438506841299926 0.017766486629556155 0.017138992489478255
A3158 0.059 106.537517 -10.56406215553929 -9.602472126499768 0.3839883441461023 0.2690622962191256
A3158 0.059 287.651677 -10.838825059720461 -9.800225313139592 0.20529200144352266 0.13913308220735487
A3158 0.059 441.057163 -10.89858463166663 -9.923666562319358 0.170664455886973 0.12303566786311748
A3158 0.059 592.728161 -10.961323863290499 -10.018065573097074 0.15101586014864488 0.1138710077264804
A3158 0.059 760.611389 -11.02642339768663 -10.105025349002638 0.13360513521525164 0.1091065834359739
A3158 0.059 921.617664 -11.081536592802458 -10.173673847541888 0.11933439698697157 0.10591291571612871
A3158 0.059 1049.617879 -11.121847923537382 -10.221039373184125 0.10935582022220736 0.10102910454954817
A0262 0.0161 162.612903 -11.04822730627226 -9.860425878424339 0.2183717509378944 0.15927594404960566
A0262 0.0161 662.887994 -11.322048985532502 -10.425458697741215 0.09282822966952686 0.08086957407732953
A0262 0.0161 1537.550713 -11.457571336091716 -10.787132907424676 0.05600183619405108 0.055452628423491745
A2589 0.0416 143.54067 -10.769206402584896 -9.49337054307877 0.2761353637938715 0.20547556901322217
A2589 0.0416 508.935561 -10.963816035921546 -9.979108084465153 0.09810167109483992 0.08952120572604727
A2589 0.0416 1084.508555 -11.142159967239708 -10.335014370694152 0.06689205946979371 0.06582325106181663
A3571 0.0397 174.809434 -10.566938573833296 -9.565547467196984 0.3034324889479052 0.20966021485900121
A3571 0.0397 495.292108 -10.590880796198539 -9.80526196617205 0.0931116071746576 0.06426125096925617
A3571 0.0397 908.515496 -10.678733882924062 -10.00719713697216 0.05323035815518651 0.0579451222877605
A0576 0.0381 227.797294 -11.098089114312561 -9.721855490357399 0.2967514515686229 0.18595359943808987
A0576 0.0381 652.591067 -11.160635521681876 -10.033259678218588 0.11861069007951563 0.08800028632732193
A0576 0.0381 1110.144762 -11.231679865382697 -10.222745254849267 0.06891794977706489 0.07130282084380823
A0496 0.0328 91.906267 -10.423154014033567 -9.445785139840249 0.3953357533687054 0.2493926559628381
A0496 0.0328 271.572564 -10.742362763830696 -9.67489516378467 0.1299301006071243 0.09887245742772244
A0496 0.0328 426.394804 -10.838198531332988 -9.827393406372522 0.07404302315441491 0.06935648927547255
A0496 0.0328 597.648609 -10.907211685314605 -9.95399883717146 0.05360743552477487 0.057994497868513406
A0496 0.0328 931.443064 -10.998079441364887 -10.141803941823378 0.052041417911398824 0.059800141538215
