# log10_gbar log10_gobs log10_p16 log10_p84
-1.172439523505450509e+01 -1.058307626945452995e+01 -1.074460534637549003e+01 -1.047490573116163581e+01
-1.157028051618141617e+01 -1.024547599558122357e+01 -1.024547599558122357e+01 -1.024547599558122357e+01
-1.147184664624843897e+01 -1.032152100804564476e+01 -1.036027084894330130e+01 -1.028594716960780531e+01
-1.143868094934021862e+01 -1.051430074448725449e+01 -1.065470719299925761e+01 -1.041686590025214976e+01
-1.128456623046713148e+01 -1.020309542634189981e+01 -1.020309542634189981e+01 -1.020309542634189981e+01
-1.118613236053415250e+01 -1.027966644206638591e+01 -1.031409905984255104e+01 -1.024776437649091321e+01
-1.115296666362593392e+01 -1.046119035345150650e+01 -1.058363564583491367e+01 -1.037354589878659183e+01
-1.099885194475284500e+01 -1.017300959431433327e+01 -1.017300959431433327e+01 -1.017300959431433327e+01
-1.090041807481986780e+01 -1.024988481634276027e+01 -1.028091850125806772e+01 -1.022092159841658443e+01
-1.071313765903856030e+01 -1.015240865570280171e+01 -1.015240865570280171e+01 -1.015240865570280171e+01
