# log10_gbar log10_gobs log10_p16 log10_p84
-1.350422986476993792e+01 -1.140980395004170589e+01 -1.171428521639020026e+01 -1.124108001717017302e+01
-1.344028521923126007e+01 -1.147263795749901050e+01 -1.172891008627842879e+01 -1.132231802293426171e+01
-1.335127842670621234e+01 -1.147595024515524997e+01 -1.171853688617957800e+01 -1.132820905732126704e+01
-1.325312584712203368e+01 -1.110673795508897577e+01 -1.149558552700861291e+01 -1.091702333241989464e+01
-1.321851557905565144e+01 -1.123092471274919824e+01 -1.151573145866339232e+01 -1.106529713548014726e+01
-1.315457093351697537e+01 -1.129223387163495396e+01 -1.153298170704933057e+01 -1.114602199065634203e+01
-1.306556414099192764e+01 -1.130332914957656421e+01 -1.152991345658468703e+01 -1.116059394926280923e+01
-1.296741156140774542e+01 -1.094672858288707218e+01 -1.130625606677346262e+01 -1.076032004754071636e+01
-1.293280129334136674e+01 -1.106599928668661725e+01 -1.132932229109125188e+01 -1.090407064398077708e+01
-1.286885664780268890e+01 -1.112618469633726370e+01 -1.134952000343139566e+01 -1.098532636372157612e+01
-1.277984985527764294e+01 -1.114611196412973371e+01 -1.135519644443243514e+01 -1.100964281808854395e+01
-1.268169727569346072e+01 -1.080269026469584581e+01 -1.113055011605863598e+01 -1.062141280372744134e+01
-1.264708700762708027e+01 -1.091666809768729784e+01 -1.115711693421738637e+01 -1.076042767488673313e+01
-1.258314236208840420e+01 -1.097620707520843020e+01 -1.118110669192048334e+01 -1.084140202188367574e+01
-1.249413556956336002e+01 -1.100590662484719928e+01 -1.119600563299620966e+01 -1.087710700059204783e+01
-1.239598298997917603e+01 -1.067575457834295172e+01 -1.097142983953833983e+01 -1.050297073205417142e+01
-1.236137272191279379e+01 -1.078436161348482258e+01 -1.100049675242659575e+01 -1.063600757989738810e+01
-1.229742807637411772e+01 -1.084376382789471371e+01 -1.102890672913114223e+01 -1.071686408554212022e+01
-1.220842128384906999e+01 -1.088393809548783331e+01 -1.105446230457391721e+01 -1.076367208066401560e+01
-1.211026870426488955e+01 -1.056659400957679296e+01 -1.083014370607579480e+01 -1.040441066983716922e+01
-1.207565843619850909e+01 -1.067008627023226275e+01 -1.086201309912601509e+01 -1.053198797876437176e+01
-1.201171379065983480e+01 -1.072984250002496687e+01 -1.089471281831660399e+01 -1.061265681607804190e+01
-1.192270699813478885e+01 -1.078082572352297319e+01 -1.093212754464608061e+01 -1.067025716006226688e+01
-1.182455441855060485e+01 -1.047528209781915720e+01 -1.070755811021300197e+01 -1.032530321314127342e+01
-1.178994415048422262e+01 -1.057421499386389740e+01 -1.074277152276038727e+01 -1.044693668817073551e+01
-1.172599950494554832e+01 -1.063474526805551790e+01 -1.077930520578928331e+01 -1.052694145635801881e+01
-1.163699271242049704e+01 -1.069640571866178824e+01 -1.082921759577565979e+01 -1.059608520548481181e+01
-1.153884013283631838e+01 -1.040120914104760885e+01 -1.060521194355353458e+01 -1.026520634502722018e+01
-1.150422986476993792e+01 -1.049634188198232998e+01 -1.064367550926100492e+01 -1.037991619985471381e+01
-1.144028521923126185e+01 -1.055795125355644082e+01 -1.068477098800756586e+01 -1.046033700776304975e+01
-1.125312584712203368e+01 -1.034308563453250329e+01 -1.052154973513242631e+01 -1.022062055728745911e+01
-1.121851557905565144e+01 -1.043525483728000580e+01 -1.056402214025981934e+01 -1.032938686267890205e+01
-1.115457093351697537e+01 -1.049810660796262951e+01 -1.060852601912230675e+01 -1.040991877086774231e+01
-1.096741156140774720e+01 -1.029904921690616959e+01 -1.045582015224349171e+01 -1.018879222409254659e+01
-1.093280129334136674e+01 -1.038905013813712941e+01 -1.050219166855612229e+01 -1.029257439104605432e+01
-1.068169727569346072e+01 -1.026686266036054285e+01 -1.040657647055135371e+01 -1.016563116973006053e+01
